Variable index;Variable type;Variable ID;Variable name;Variable data;Upper bound;Lower bound;Max;Min
37;FLUX;rxn00539_c0;rxn00539_c0;cpd00162_c0 <=> cpd00013_c0 + cpd00071_c0;1000;-1000;-6.89965e-05;-0.000689965
38;FLUX;rxn11726_c0;rxn11726_c0;cpd00001_c0 + cpd14891_c0 <=> 2 cpd00067_c0 + cpd00010_c0 + cpd16342_c0;1000;-1000;0;0
39;FLUX;rxn00001_c0;rxn00001_c0;cpd00001_c0 + cpd00012_c0 => cpd00067_c0 + 2 cpd00009_c0;1000;0;996.114;0
40;FLUX;rxn01322_c0;rxn01322_c0;cpd00232_c0 <=> cpd00020_c0 + cpd00492_c0;1000;-1000;0;0
41;FLUX;rxn00710_c0;rxn00710_c0;cpd00067_c0 + cpd00810_c0 => cpd00011_c0 + cpd00091_c0;1000;0;0.367613;0.0364649
42;FLUX;rxn08817_c0;rxn08817_c0;cpd00001_c0 + cpd15350_c0 <=> 2 cpd00067_c0 + cpd00080_c0 + cpd01741_c0;1000;-1000;0;0
43;FLUX;rxn00910_c0;rxn00910_c0;cpd00006_c0 + cpd00345_c0 <=> cpd00067_c0 + cpd00005_c0 + cpd00125_c0;1000;-1000;999.992;-1000
44;FLUX;rxn01129_c0;rxn01129_c0;cpd00249_c0 + cpd00115_c0 <=> cpd00067_c0 + cpd00091_c0 + cpd00177_c0;1000;-1000;1000;-1000
45;FLUX;rxn08296_c0;rxn08296_c0;cpd00002_c0 + cpd15308_c0 <=> cpd00008_c0 + cpd15523_c0;1000;-1000;0;0
46;FLUX;rxn00717_c0;rxn00717_c0;cpd00067_c0 + cpd00001_c0 + cpd00307_c0 => cpd00013_c0 + cpd00092_c0;1000;0;0;0
47;FLUX;rxn01297_c0;rxn01297_c0;cpd00001_c0 + cpd00003_c0 + cpd00226_c0 <=> cpd00067_c0 + cpd00004_c0 + cpd00309_c0;1000;-1000;0;0
48;FLUX;rxn10254_c0;rxn10254_c0;cpd00002_c0 + cpd15702_c0 <=> cpd00008_c0 + cpd15678_c0;1000;-1000;0;0
49;FLUX;rxn08796_c0;rxn08796_c0;cpd00001_c0 + cpd15325_c0 <=> cpd00067_c0 + cpd00080_c0 + cpd01741_c0;1000;-1000;0;0
50;FLUX;rxn08941_c0;rxn08941_c0;cpd00009_c0 + cpd15495_c0 <=> cpd01399_c0 + cpd00089_c0;1000;-1000;1000;-1000
51;FLUX;rxn06493_c0;rxn06493_c0;cpd00003_c0 + cpd12225_c0 <=> cpd00067_c0 + cpd00004_c0 + cpd12005_c0;1000;-1000;0;0
52;FLUX;rxn10214_c0;rxn10214_c0;cpd15671_c0 + cpd11432_c0 => cpd00067_c0 + cpd00010_c0 + cpd15677_c0;1000;0;0.0216298;0.00216298
53;FLUX;rxn12846_c0;rxn12846_c0;cpd00001_c0 + cpd15605_c0 <=> cpd00033_c0 + cpd00066_c0;1000;-1000;0;0
54;FLUX;rxn00337_c0;rxn00337_c0;cpd00002_c0 + cpd00041_c0 <=> cpd00008_c0 + cpd01977_c0;1000;-1000;0.157656;0.0157656
55;FLUX;rxn01231_c0;rxn01231_c0;cpd00067_c0 + cpd00395_c0 <=> cpd00011_c0 + cpd00210_c0;1000;-1000;0;0
56;FLUX;rxn08823_c0;rxn08823_c0;cpd00001_c0 + cpd15357_c0 <=> 2 cpd00067_c0 + cpd00080_c0 + cpd15269_c0;1000;-1000;0;0
57;FLUX;rxn08127_c0;rxn08127_c0;cpd00179_c0 + cpd01399_c0 <=> cpd00027_c0 + cpd15495_c0;1000;-1000;1000;-1000
58;FLUX;rxn01134_c0;rxn01134_c0;cpd00179_c0 <=> cpd00794_c0;1000;-1000;-3.88614;-1000
59;FLUX;rxn07577_c0;rxn07577_c0;cpd00067_c0 + cpd00005_c0 + cpd14938_c0 <=> cpd00006_c0 + cpd14939_c0;1000;-1000;0;0
60;FLUX;rxn00902_c0;rxn00902_c0;cpd00067_c0 + cpd00010_c0 + cpd01646_c0 <= cpd00022_c0 + cpd00001_c0 + cpd00123_c0;0;-1000;-0.0190635;-0.190635
61;FLUX;rxn00658_c0;rxn00658_c0;cpd00001_c0 + cpd00788_c0 <=> cpd00085_c0 + cpd00029_c0;1000;-1000;0;0
62;FLUX;rxn03872_c0;rxn03872_c0;cpd00001_c0 + cpd06717_c0 <=> cpd00067_c0 + cpd04103_c0;1000;-1000;0;0
63;FLUX;rxn01739_c0;rxn01739_c0;cpd00002_c0 + cpd00383_c0 <=> cpd00067_c0 + cpd00008_c0 + cpd02030_c0;1000;-1000;0.17316;0.017316
64;FLUX;rxn02400_c0;rxn02400_c0;cpd00001_c0 + cpd00873_c0 => cpd00009_c0 + cpd03471_c0;1000;0;0;0
65;FLUX;rxn01974_c0;rxn01974_c0;cpd00504_c0 <=> cpd00516_c0;1000;-1000;0;0
66;FLUX;rxn01287_c0;rxn01287_c0;cpd00002_c0 + cpd00224_c0 <=> cpd00067_c0 + cpd00008_c0 + cpd02428_c0;1000;-1000;0;0
67;FLUX;rxn12641_c0;rxn12641_c0;cpd00001_c0 + cpd11585_c0 <=> cpd00033_c0 + cpd00035_c0;1000;-1000;0;0
68;FLUX;rxn04673_c0;rxn04673_c0;cpd02295_c0 + cpd03214_c0 => 2 cpd00067_c0 + cpd00011_c0 + cpd00012_c0 + cpd09410_c0;1000;0;0;0
69;FLUX;rxn03887_c0;rxn03887_c0;cpd00652_c0 => cpd00001_c0 + cpd00515_c0;1000;0;0;0
70;FLUX;rxn09198_c0;rxn09198_c0;2 cpd00067_c0 + cpd15553_c0 <=> cpd00011_c0 + cpd15529_c0;1000;-1000;0;0
71;FLUX;rxn08838_c0;rxn08838_c0;cpd00001_c0 + cpd15336_c0 <=> cpd00067_c0 + cpd00908_c0 + cpd01741_c0;1000;-1000;0;0
72;FLUX;rxn00100_c0;rxn00100_c0;cpd00002_c0 + cpd00655_c0 => cpd00067_c0 + cpd00008_c0 + cpd00010_c0;1000;0;0.00157249;0.000157249
73;FLUX;rxn00789_c0;rxn00789_c0;cpd00067_c0 + cpd00012_c0 + cpd01775_c0 <= cpd00002_c0 + cpd00103_c0;0;-1000;0;0
74;FLUX;rxn02374_c0;rxn02374_c0;cpd00858_c0 => cpd00067_c0 + cpd00001_c0 + cpd02431_c0;1000;0;0;0
75;FLUX;rxn08583_c0;rxn08583_c0;cpd00026_c0 + cpd15479_c0 <=> cpd00014_c0 + cpd15469_c0;1000;-1000;0.0127012;0.00127012
76;FLUX;rxn00837_c0;rxn00837_c0;cpd00013_c0 + cpd00006_c0 + cpd00114_c0 <= 2 cpd00067_c0 + cpd00005_c0 + cpd00126_c0;0;-1000;0;-0.0733931
77;FLUX;rxn05319_c0;rxn05319_c0;cpd00001_e0[e] <= cpd00001_c0;0;-1000;-1.35569;-13.7353
78;FLUX;rxn05293_c0;rxn05293_c0;cpd00067_c0 + cpd00004_c0 + cpd08301_c0 => cpd00001_c0 + cpd00003_c0 + cpd08615_c0;1000;0;0.177453;0.0177453
79;FLUX;rxn02264_c0;rxn02264_c0;cpd00755_c0 <=> cpd00001_c0 + cpd00774_c0;1000;-1000;0.00314498;0.000314498
80;FLUX;rxn09202_c0;rxn09202_c0;2 cpd00067_c0 + cpd15557_c0 <=> cpd00011_c0 + cpd15533_c0;1000;-1000;0;0
81;FLUX;rxn00097_c0;rxn00097_c0;cpd00002_c0 + cpd00067_c0 + cpd00018_c0 <=> 2 cpd00008_c0;1000;-1000;1000;0.0754989
82;FLUX;rxn01217_c0;rxn01217_c0;cpd00067_c0 + cpd00001_c0 + cpd00206_c0 <=> cpd00013_c0 + cpd00299_c0;1000;-1000;-0.000826444;-1000
83;FLUX;rxn02212_c0;rxn02212_c0;cpd02857_c0 => cpd00009_c0 + cpd00699_c0;1000;0;0.17316;0.017316
84;FLUX;rxn00191_c0;rxn00191_c0;cpd00024_c0 + cpd00035_c0 <=> cpd00020_c0 + cpd00023_c0;1000;-1000;-0.0244863;-0.244863
85;FLUX;rxn00695_c0;rxn00695_c0;cpd00002_c0 + cpd00089_c0 <=> cpd00012_c0 + cpd00387_c0;1000;-1000;2.8399e-28;2.8399e-28
86;FLUX;rxn00655_c0;rxn00655_c0;cpd00001_c0 + cpd00003_c0 + cpd01489_c0 <=> cpd00067_c0 + cpd00020_c0 + cpd00004_c0 + cpd00085_c0;1000;-1000;0;0
87;FLUX;rxn11552_c0;rxn11552_c0;cpd00067_c0 + cpd00005_c0 + cpd00108_c0 <=> cpd00006_c0 + cpd01171_c0;1000;-1000;1000;-1000
88;FLUX;rxn00692_c0;rxn00692_c0;cpd00033_c0 + cpd00001_c0 + cpd00125_c0 <=> cpd00054_c0 + cpd00087_c0;1000;-1000;-0.0187934;-0.187934
89;FLUX;rxn01492_c0;rxn01492_c0;cpd00002_c0 + cpd00802_c0 <=> cpd00067_c0 + cpd00008_c0 + cpd00290_c0;1000;-1000;0;0
90;FLUX;rxn00802_c0;rxn00802_c0;cpd02152_c0 <=> cpd00106_c0 + cpd00051_c0;1000;-1000;0;0
91;FLUX;rxn01310_c0;rxn01310_c0;cpd00006_c0 + cpd00588_c0 <=> cpd00067_c0 + cpd00027_c0 + cpd00005_c0;1000;-1000;0;0
92;FLUX;rxn08802_c0;rxn08802_c0;cpd00001_c0 + cpd15328_c0 <=> 2 cpd00067_c0 + cpd00080_c0 + cpd15269_c0;1000;-1000;0;0
93;FLUX;rxn02703_c0;rxn02703_c0;cpd00002_c0 + cpd01407_c0 <=> cpd00008_c0 + cpd03722_c0;1000;-1000;0;0
94;FLUX;rxn00913_c0;rxn00913_c0;cpd00001_c0 + cpd00126_c0 => cpd00009_c0 + cpd00311_c0;1000;0;0;0
95;FLUX;rxn01997_c0;rxn01997_c0;cpd00626_c0 => cpd00001_c0 + cpd00521_c0;1000;0;0.0127012;0.00127012
96;FLUX;rxn08809_c0;rxn08809_c0;cpd00001_c0 + cpd12547_c0 <=> cpd00067_c0 + cpd00908_c0 + cpd15269_c0;1000;-1000;-0.0106561;-0.106561
97;FLUX;rxn03958_c0;rxn03958_c0;cpd00006_c0 + cpd08286_c0 <=> cpd00067_c0 + cpd08289_c0 + cpd00005_c0;1000;-1000;-0.0177453;-0.177453
98;FLUX;rxn00131_c0;rxn00131_c0;cpd00001_c0 + cpd00018_c0 <=> cpd00128_c0 + cpd00101_c0;1000;-1000;996.114;0
99;FLUX;rxn00178_c0;rxn00178_c0;2 cpd00022_c0 <=> cpd00010_c0 + cpd00279_c0;1000;-1000;0.0432595;0.00432595
100;FLUX;rxn01362_c0;rxn01362_c0;cpd00067_c0 + cpd00012_c0 + cpd00810_c0 <= cpd00103_c0 + cpd00247_c0;0;-1000;-0.0364649;-0.367613
101;FLUX;rxn04713_c0;rxn04713_c0;cpd09818_c0 + cpd00078_c0 <=> cpd09819_c0 + cpd00036_c0;1000;-1000;0;0
102;FLUX;rxn00584_c0;rxn00584_c0;cpd00003_c0 + cpd03762_c0 => cpd00011_c0 + cpd00004_c0 + cpd00077_c0;1000;0;0;0
103;FLUX;rxn11723_c0;rxn11723_c0;cpd00001_c0 + cpd16346_c0 <=> 2 cpd00067_c0 + cpd00010_c0 + cpd05238_c0;1000;-1000;0;0
104;FLUX;rxn10060_c0;rxn10060_c0;cpd00003_c0 + cpd00357_c0 <=> cpd00067_c0 + cpd00006_c0 + cpd00297_c0;1000;-1000;1000;-1000
105;FLUX;rxn12638_c0;rxn12638_c0;cpd00001_c0 + cpd11588_c0 => cpd00033_c0 + cpd00129_c0;1000;0;0;0
106;FLUX;rxn09105_c0;rxn09105_c0;cpd00001_c0 + cpd15546_c0 => cpd00067_c0 + cpd00009_c0 + cpd15539_c0;1000;0;0;0
107;FLUX;rxn01445_c0;rxn01445_c0;cpd00001_c0 + cpd00296_c0 => cpd00009_c0 + cpd00277_c0;1000;0;499.962;0
108;FLUX;rxn08841_c0;rxn08841_c0;cpd00001_c0 + cpd15339_c0 <=> cpd00067_c0 + cpd00908_c0 + cpd00214_c0;1000;-1000;0;0
109;FLUX;rxn01701_c0;rxn01701_c0;cpd00365_c0 + cpd00134_c0 <=> cpd00010_c0 + cpd01691_c0;1000;-1000;0;0
110;FLUX;rxn08083_c0;rxn08083_c0;cpd00067_c0 + cpd15325_c0 + cpd11468_c0 => cpd11493_c0 + cpd15521_c0;1000;0;0;0
111;FLUX;rxn03038_c0;rxn03038_c0;cpd02501_c0 + cpd00007_c0 => cpd00067_c0 + cpd02731_c0;1000;0;0;0
112;FLUX;rxn02791_c0;rxn02791_c0;cpd00023_c0 + cpd01651_c0 <=> cpd00001_c0 + cpd03407_c0;1000;-1000;0;0
113;FLUX;rxn05466_c0;rxn05466_c0;cpd00013_e0[e] <=> cpd00013_c0;1000;-1000;5.19226;0.513599
114;FLUX;rxn08814_c0;rxn08814_c0;cpd00001_c0 + cpd15322_c0 <=> cpd00067_c0 + cpd15237_c0 + cpd02090_c0;1000;-1000;0;0
115;FLUX;rxn08845_c0;rxn08845_c0;cpd00001_c0 + cpd15343_c0 <=> cpd00067_c0 + cpd01741_c0 + cpd02090_c0;1000;-1000;0;0
116;FLUX;rxn01292_c0;rxn01292_c0;cpd00224_c0 <=> cpd00397_c0;1000;-1000;0;0
117;FLUX;rxn00300_c0;rxn00300_c0;3 cpd00001_c0 + cpd00038_c0 => 3 cpd00067_c0 + cpd00012_c0 + cpd00047_c0 + cpd00957_c0;1000;0;0.00314498;0.000314498
118;FLUX;rxn08799_c0;rxn08799_c0;cpd00001_c0 + cpd15327_c0 <=> 2 cpd00067_c0 + cpd00080_c0 + cpd00214_c0;1000;-1000;0;0
119;FLUX;rxn05938_c0;rxn05938_c0;cpd00067_c0 + cpd00022_c0 + cpd00011_c0 + cpd11620_c0 <=> cpd00010_c0 + cpd00020_c0 + cpd11621_c0;1000;-1000;1.71364;0.147557
120;FLUX;rxn10256_c0;rxn10256_c0;cpd00002_c0 + cpd15704_c0 <=> cpd00008_c0 + cpd15680_c0;1000;-1000;0;0
121;FLUX;rxn00679_c0;rxn00679_c0;cpd00067_c0 + cpd00010_c0 + cpd01501_c0 <= cpd00001_c0 + cpd00032_c0 + cpd00086_c0;0;-1000;0;0
122;FLUX;rxn01516_c0;rxn01516_c0;cpd00249_c0 + cpd00357_c0 <=> cpd00067_c0 + cpd00091_c0 + cpd00297_c0;1000;-1000;1000;-1000
123;FLUX;rxn02103_c0;rxn02103_c0;cpd00006_c0 + cpd00465_c0 <=> cpd00067_c0 + cpd00005_c0 + cpd00596_c0;1000;-1000;1000;-1000
124;FLUX;rxn03848_c0;rxn03848_c0;cpd00067_c0 + cpd00001_c0 + cpd03963_c0 <=> cpd00011_c0 + cpd00013_c0 + cpd00073_c0;1000;-1000;0;0
125;FLUX;rxn10213_c0;rxn10213_c0;cpd00067_c0 + cpd00327_c0 + cpd15329_c0 => cpd00010_c0 + cpd15526_c0;1000;0;0;0
126;FLUX;rxn08300_c0;rxn08300_c0;cpd00002_c0 + cpd15312_c0 <=> cpd00008_c0 + cpd15527_c0;1000;-1000;0;0
127;FLUX;rxn02404_c0;rxn02404_c0;cpd00001_c0 + cpd02730_c0 => cpd00009_c0 + cpd00875_c0;1000;0;0.0381037;0.00381037
128;FLUX;rxn01644_c0;rxn01644_c0;cpd00020_c0 + cpd00346_c0 => cpd00067_c0 + 2 cpd00001_c0 + cpd02120_c0;1000;0;0.157656;0.0157656
129;FLUX;rxn08297_c0;rxn08297_c0;cpd00002_c0 + cpd15309_c0 <=> cpd00008_c0 + cpd15524_c0;1000;-1000;0;0
130;FLUX;rxn00012_c0;rxn00012_c0;2 cpd00076_c0 <=> cpd00027_c0 + cpd02298_c0;1000;-1000;0;0
131;FLUX;rxn12847_c0;rxn12847_c0;cpd00001_c0 + cpd15606_c0 <=> cpd00033_c0 + cpd00069_c0;1000;-1000;0;0
132;FLUX;rxn09320_c0;rxn09320_c0;cpd00002_c0 + cpd00655_c0 <=> cpd00128_c0 + cpd15364_c0;1000;-1000;0;0
133;FLUX;rxn08822_c0;rxn08822_c0;cpd00001_c0 + cpd15358_c0 <=> 2 cpd00067_c0 + cpd00080_c0 + cpd01080_c0;1000;-1000;0;0
134;FLUX;rxn04068_c0;rxn04068_c0;cpd00001_c0 + cpd01318_c0 <=> cpd00033_c0 + cpd00526_c0;1000;-1000;0;0
135;FLUX;rxn01522_c0;rxn01522_c0;cpd00001_c0 + cpd00003_c0 + cpd00309_c0 <=> cpd00067_c0 + cpd00004_c0 + cpd00300_c0;1000;-1000;-0.0158284;-0.16138
136;FLUX;rxn00336_c0;rxn00336_c0;cpd00260_c0 <=> cpd00036_c0 + cpd00040_c0;1000;-1000;0.16138;0.0158284
137;FLUX;rxn03891_c0;rxn03891_c0;cpd00113_c0 + cpd00906_c0 => cpd00067_c0 + cpd00012_c0 + cpd02590_c0;1000;0;0.00471748;0.000471748
138;FLUX;rxn04457_c0;rxn04457_c0;cpd09027_c0 => cpd00011_c0 + cpd01567_c0;1000;0;0;0
139;FLUX;rxn05021_c0;rxn05021_c0;cpd00067_c0 + cpd00083_c0 + cpd00286_c0 <=> cpd11214_c0 + cpd00031_c0;1000;-1000;0;0
140;FLUX;rxn08844_c0;rxn08844_c0;cpd00001_c0 + cpd15342_c0 <=> cpd00067_c0 + cpd00908_c0 + cpd15269_c0;1000;-1000;0;0
141;FLUX;rxn00707_c0;rxn00707_c0;cpd00367_c0 + cpd00068_c0 <=> cpd00067_c0 + cpd00046_c0 + cpd00090_c0;1000;-1000;1000;-1000
142;FLUX;rxn00369_c0;rxn00369_c0;cpd00367_c0 + cpd00038_c0 <=> cpd00067_c0 + cpd00046_c0 + cpd00031_c0;1000;-1000;999.984;-1000
143;FLUX;rxn06937_c0;rxn06937_c0;cpd00002_c0 + cpd00023_c0 + cpd11912_c0 => cpd00067_c0 + cpd00012_c0 + cpd00018_c0 + cpd12227_c0;1000;0;0;0
144;FLUX;rxn03095_c0;rxn03095_c0;cpd00001_c0 + cpd03244_c0 <=> cpd00210_c0 + cpd02733_c0;1000;-1000;0;0
145;FLUX;rxn00708_c0;rxn00708_c0;cpd00001_c0 + cpd00091_c0 => cpd00009_c0 + cpd00249_c0;1000;0;996.114;0
146;FLUX;rxn03762_c0;rxn03762_c0;cpd00051_c0 + cpd00102_c0 <=> cpd00067_c0 + cpd00009_c0 + cpd04058_c0;1000;-1000;0;0
147;FLUX;rxn00747_c0;rxn00747_c0;cpd00102_c0 <=> cpd00095_c0;1000;-1000;4.16601;0.416548
148;FLUX;rxn01334_c0;rxn01334_c0;cpd00349_c0 <=> cpd00095_c0 + cpd00236_c0;1000;-1000;-0.0258817;-0.258817
149;FLUX;rxn10113_c0;rxn10113_c0;2.5 cpd00067_c0 + 0.5 cpd00007_c0 + cpd15561_c0 => cpd00001_c0 + 2.5 cpd00067_e0[e] + cpd15560_c0;1000;0;0.396817;0.0363956
150;FLUX;rxn12646_c0;rxn12646_c0;cpd00001_c0 + cpd11580_c0 <=> cpd00033_c0 + cpd00053_c0;1000;-1000;0;0
151;FLUX;rxn01675_c0;rxn01675_c0;cpd00089_c0 + cpd00357_c0 <=> cpd00012_c0 + cpd00626_c0;1000;-1000;0.0127012;0.00127012
152;FLUX;rxn08839_c0;rxn08839_c0;cpd00001_c0 + cpd15337_c0 <=> cpd00067_c0 + cpd00908_c0 + cpd03847_c0;1000;-1000;0;0
153;FLUX;rxn14003_c0;rxn14003_c0;;1000;-1000;1000;-1000
154;FLUX;rxn01575_c0;rxn01575_c0;cpd00024_c0 + cpd00322_c0 <=> cpd00023_c0 + cpd00508_c0;1000;-1000;-0.0122794;-0.122794
155;FLUX;rxn09562_c0;rxn09562_c0;cpd00067_c0 + cpd00115_c0 + cpd00126_c0 <=> cpd00177_c0 + cpd00031_c0;1000;-1000;1000;-999.992
156;FLUX;rxn06098_c0;rxn06098_c0;cpd11624_c0 + cpd00301_c0 <=> cpd11979_c0 + cpd02601_c0;1000;-1000;0;0
157;FLUX;rxn00555_c0;rxn00555_c0;cpd00053_c0 + cpd00072_c0 <=> cpd00023_c0 + cpd00288_c0;1000;-1000;996.119;0.00508049
158;FLUX;rxn10237_c0;rxn10237_c0;2 cpd00067_c0 + cpd15694_c0 <=> cpd00011_c0 + cpd15700_c0;1000;-1000;0;0
159;FLUX;rxn12644_c0;rxn12644_c0;cpd00001_c0 + cpd11582_c0 <=> cpd00035_c0 + cpd00161_c0;1000;-1000;0;0
160;FLUX;rxn00147_c0;rxn00147_c0;cpd00002_c0 + cpd00001_c0 + cpd00020_c0 => 3 cpd00067_c0 + cpd00009_c0 + cpd00061_c0 + cpd00018_c0;1000;0;2.00027;0.199835
161;FLUX;rxn01505_c0;rxn01505_c0;cpd00293_c0 <=> cpd02611_c0;1000;-1000;0.0508049;0.00508049
162;FLUX;rxn00737_c0;rxn00737_c0;cpd00161_c0 <=> cpd00013_c0 + cpd00094_c0;1000;-1000;-0.010719;-0.10719
163;FLUX;rxn08843_c0;rxn08843_c0;cpd00001_c0 + cpd15341_c0 <=> cpd00067_c0 + cpd00908_c0 + cpd01080_c0;1000;-1000;-0.000540744;-0.00540744
164;FLUX;rxn04841_c0;rxn04841_c0;2 cpd00042_c0 + cpd03555_c0 <=> cpd00001_c0 + cpd02890_c0 + cpd00111_c0;1000;-1000;0;0
165;FLUX;rxn11551_c0;rxn11551_c0;cpd00067_c0 + cpd00004_c0 + cpd00108_c0 <=> cpd00003_c0 + cpd01171_c0;1000;-1000;1000;-1000
166;FLUX;rxn02314_c0;rxn02314_c0;cpd00002_c0 + cpd00805_c0 <=> cpd00067_c0 + cpd00008_c0 + cpd02371_c0;1000;-1000;0;0
167;FLUX;rxn08801_c0;rxn08801_c0;cpd00001_c0 + cpd15329_c0 <=> cpd00067_c0 + cpd00080_c0 + cpd01080_c0;1000;-1000;0;0
